,Geldgeber,Kategorie,Betrag,Empfänger,Jahr,Ort,Bundesland,Branche,Schlagworte
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2011","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"80000,00 €",FDP,2011,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2010","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"80000,00 €",FDP,2010,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2014","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"50000,00 €",FDP,2014,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2012","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"80000,00 €",FDP,2012,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie VBM-FDP-2015","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"50000,00 €",FDP,2015,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-GRÜNE-2007","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"20000,00 €","Bündnis 90/Die Grünen",2007,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-GRÜNE-2004","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"17500,00 €","Bündnis 90/Die Grünen",2004,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2003","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"45000,00 €",FDP,2003,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2000","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"20451,60 €",FDP,2000,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-GRÜNE-2006","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"20000,00 €","Bündnis 90/Die Grünen",2006,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-GRÜNE-2008","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"20000,00 €","Bündnis 90/Die Grünen",2008,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2001","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"24286,28 €",FDP,2001,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-CSU-2000","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"357903,00 €",CSU,2000,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-GRÜNE-2005","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"17500,00 €","Bündnis 90/Die Grünen",2005,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2004","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"20000,00 €",FDP,2004,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2002","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"90000,00 €",FDP,2002,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2007","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"40314,00 €",FDP,2007,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2009","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"150000,00 €",FDP,2009,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-GRÜNE-2009","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"35000,00 €","Bündnis 90/Die Grünen",2009,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-SPD-2006","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"45000,00 €",SPD,2006,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2006","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"30000,00 €",FDP,2006,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-CSU-2004","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"370000,00 €",CSU,2004,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-GRÜNE-2003","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"20000,00 €","Bündnis 90/Die Grünen",2003,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2005","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"90400,00 €",FDP,2005,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-CSU-2014","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"333000,00 €",CSU,2014,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie-CSU-2015","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"370000,00 €",CSU,2015,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-SPD-2013","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"50000,00 €",SPD,2013,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-Grüne-2013","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"35000,00 €","Bündnis 90/Die Grünen",2013,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-CSU-2010","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"320000,00 €",CSU,2010,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-Grüne-2015","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"30000,00 €","Bündnis 90/Die Grünen",2015,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-Grüne-2014","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"30000,00 €","Bündnis 90/Die Grünen",2014,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2013","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"150000,00 €",FDP,2013,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-Grüne-2012","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"35000,00 €","Bündnis 90/Die Grünen",2012,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-SPD-2010","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"35000,00 €",SPD,2010,München,,,
"Parteispende:Verband der Bayerischen Metall- und Elektroindustrie e.V.-SPD-2014","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"50000,00 €",SPD,2014,München,,,
"Parteispende:VBME Verband der bayr. Metall- und Elektroindustrie-SPD-2015","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.",Kategorie:Parteispende,"50000,00 €",SPD,2015,München,,,
"Parteispende:Verband der Metall- und Elektroindustrie Baden Württemberg e.V.-FDP-2005",Gesamtmetall,Kategorie:Parteispende,"50000,00 €",FDP,2005,Stuttgart,,,
"Parteispende:Verband der Metall- und Elektroindustrie Baden Württemberg e.V.-FDP-2001","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.",Kategorie:Parteispende,"102258,00 €",FDP,2001,Stuttgart,,,
"Parteispende:Verband der Metall- und Elektroindustrie Baden Württemberg e.V.-FDP-2003","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.",Kategorie:Parteispende,"100000,00 €",FDP,2003,Stuttgart,,,
"Parteispende:Verband der Metall- und Elektroindustrie Baden Württemberg e.V.-FDP-2000","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.",Kategorie:Parteispende,"86919,30 €",FDP,2000,Stuttgart,,,
"Parteispende:Verband der Metall- und Elektroindustrie Baden Württemberg e.V.-CDU-2001","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.",Kategorie:Parteispende,"204516,00 €",CDU,2001,Stuttgart,,,
"Parteispende:Verband der Metall- und Elektroindustrie Baden Württemberg e.V.-FDP-2002",Gesamtmetall,Kategorie:Parteispende,"125000,00 €",FDP,2002,Stuttgart,,,
"Parteispende:Verband der Metall- und Elektroindustrie Baden Württemberg e.V.-FDP-2004","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.",Kategorie:Parteispende,"50000,00 €",FDP,2004,Stuttgart,,,
